"","text"
"94","  percepatan vaksinasi  keselamatan masyarakat   pemdapercepatvaksinasi "
"95","  mendagri  pemda melakukn  terobosan     mengumpulkan masyarakat   mengiku"
"96","  mendagri  pemda melakukn  terobosan     mengumpulkan masyarakat   mengiku"
"97","   terobosan     mengumpulkan masyarakat   mengikuti vaksinasi   pemdap"
"98","satgas penanganan covid ajak masyarakat    vaksinasi covid dosis lengkap  polripresisi "
"99","  semoga  kepala daerah    utk mempercepat vaksinasi massal kpd masyarakat   pemdapercepat"
"100","  ayo   pemegang kebijakan  daerah   memacu vaksinasi    kesehatan  keselamatan masyarak"
"101","  pemerintah pusat    pemda  bergerak  vaksinasi  masyarakat diharapkan kesadaran d"
"102","  perintah pusat  bergerak menjalankan program vaksinasi  masyarakat     diikuti  pemda teru"
"103","perintah pusat  bergerak menjalankan program vaksinasi  masyarakat     diikuti  pemd "
"104","giat razia vaksin sat lantas  urkes polres oku selatan   mapolres oku selatan  masyarakat  be "
"105","   terobosan     mengumpulkan masyarakat   mengikuti vaksinasi  pemdaperc"
"106","  percepatan vaksinasi  keselamatan masyarakat   pemdapercepatvaksinasi "
"107","   sosialisasi  edukasi vaksin covid kpd masyarakat yg minim pengetahuan krn    salah "
"108","  pemberian vaksin       melindungi masyarakat  covid   memulihkan kondisi s"
"109","gerak cepat binda jambi  program vaksinasi massal  pelajar  masyarakat   kab batang   "
"110","gerak cepat binda jambi  program vaksinasi massal  pelajar  masyarakat   kab batang  "
"111","  semoga  kepala daerah    utk mempercepat vaksinasi massal kpd masyarakat   pemdapercepat"
"112","pemerintah pusat    pemda  bergerak  vaksinasi  masyarakat diharapkan  "
"113","  presiden    masyarakat  waspada  kovid varian omicron  salah satunya   menjalankan"
"114","  semoga  kepala daerah    utk mempercepat vaksinasi massal kpd masyarakat   pemdapercepat"
"115","ayo   pemegang kebijakan  daerah   memacu vaksinasi    kesehatan  keselamatan "
"116","   terobosan     mengumpulkan masyarakat   mengikuti vaksinasi  pemdaper"
"117","   minggu  mengakselerasi percepatan vaksinasi masyarakat  dosis     pemdapercepatvaksinasi "
"118","   terobosan     mengumpulkan masyarakat   mengikuti vaksinasi   pemdape"
"119","  personel polsek singkawang  membagikan masker  himbauan prokes  vaksinasi  warga masyarakat"
"120","  personel polsek singkawang  membagikan masker  himbauan prokes  vaksinasi  warga masyarakat"
"121","  personel polsek singkawang  membagikan masker  himbauan prokes  vaksinasi  warga masyarakat"
"122","  personel polsek singkawang  membagikan masker  himbauan prokes  vaksinasi  warga masyarakat"
"123","   anggaran tito melanjutkan pemerintah daerah   anggaran penanganan covid   dialokasikan sebel"
"124","   terobosan   khusunya dlm mengumpulkan masyarakat   mengikuti vaksinasi   pe"
"125","   minggu  mengakselerasi percepatan vaksinasi masyarakat  dosis     pemdapercepatvaksinasi "
"126","   terobosan     mengumpulkan masyarakat   mengikuti vaksinasi  pemd"
"127","  masyarakat sulawesi tenggara    vaksinasi    pemdapercepatvaksinasi "
"128","   terobosan   khusunya dlm mengumpulkan masyarakat   mengikuti vaksinasi   pe"
"129","   minggu  mengakselerasi percepatan vaksinasi masyarakat  dosis     pemdapercepatvaksinasi "
"130","  percepatan vaksinasi  keselamatan masyarakat   pemdapercepatvaksinasi "
"131","  pemerintah daerah sambung tito   anggaran penanganan covid   dialokasikan  seju"
